src/serve/acp-http/transport.test.ts(4792,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4843,30): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4881,30): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4920,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4949,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(4972,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5016,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5056,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5090,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5117,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5152,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5197,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5223,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5280,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5319,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5342,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5380,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5413,42): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5459,32): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5531,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5634,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5657,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5678,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5694,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5725,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5758,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5786,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5810,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5851,47): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5877,53): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5905,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5930,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5956,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(5978,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6001,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6024,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6053,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6100,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6156,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6185,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6226,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6262,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6297,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6374,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6434,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6450,39): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6461,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6566,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6615,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(6649,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
